Category,Category Description,Product Name,Product Description,Product Base Price,Variant Name,Variant Price,Product Image URL
Coffee,"Hot, iced and blended coffee beverages",Cafe Americano,Hot or iced americano,145.00,Iced Medio,160.00,
Coffee,"Hot, iced and blended coffee beverages",Cafe Americano,Hot or iced americano,145.00,Iced Massimo,175.00,
Coffee,"Hot, iced and blended coffee beverages",Caramel Macchiato,Hot or iced caramel macchiato,170.00,Hot Primo,170.00,http://localhost:3000/static/products/hot_caramel_machiato.jpeg
Coffee,"Hot, iced and blended coffee beverages",Caramel Macchiato,Hot or iced caramel macchiato,170.00,Hot Medio,185.00,
Coffee,"Hot, iced and blended coffee beverages",Caramel Macchiato,Hot or iced caramel macchiato,170.00,Iced Medio,185.00,
Coffee,"Hot, iced and blended coffee beverages",Caramel Macchiato,Hot or iced caramel macchiato,170.00,Iced Massimo,200.00,
Coffee,"Hot, iced and blended coffee beverages",White Chocolate Mocha,Hot or iced white chocolate mocha,160.00,Hot Primo,160.00,http://localhost:3000/static/products/hot_white_chocolate_mocha.jpg
Coffee,"Hot, iced and blended coffee beverages",White Chocolate Mocha,Hot or iced white chocolate mocha,160.00,Hot Medio,180.00,
Coffee,"Hot, iced and blended coffee beverages",White Chocolate Mocha,Hot or iced white chocolate mocha,160.00,Iced Medio,180.00,
Coffee,"Hot, iced and blended coffee beverages",White Chocolate Mocha,Hot or iced white chocolate mocha,160.00,Iced Massimo,200.00,
Coffee,"Hot, iced and blended coffee beverages",Dirty Matcha,Dirty matcha,175.00,Iced Medio,175.00,http://localhost:3000/static/products/iced_dirty_matcha.webp
Coffee,"Hot, iced and blended coffee beverages",Dirty Matcha,Dirty matcha,175.00,Iced Massimo,195.00,
Coffee,"Hot, iced and blended coffee beverages",Mochaccino,Blended coffee,200.00,Medio,200.00,
Coffee,"Hot, iced and blended coffee beverages",Mochaccino,Blended coffee,200.00,Massimo,215.00,
Coffee,"Hot, iced and blended coffee beverages",Mocha Chips,Blended coffee with chocolate chips,220.00,Medio,220.00,
Coffee,"Hot, iced and blended coffee beverages",Mocha Chips,Blended coffee with chocolate chips,220.00,Massimo,235.00,
Coffee,"Hot, iced and blended coffee beverages",Cookie Crumble,Blended coffee with cookie crumble,220.00,Medio,220.00,
Coffee,"Hot, iced and blended coffee beverages",Cookie Crumble,Blended coffee with cookie crumble,220.00,Massimo,240.00,
Coffee,"Hot, iced and blended coffee beverages",White Choco Mocha,Blended white chocolate mocha,200.00,Medio,200.00,http://localhost:3000/static/products/iced_white_chocolate_mocha.jpg
Coffee,"Hot, iced and blended coffee beverages",White Choco Mocha,Blended white chocolate mocha,200.00,Massimo,220.00,
Non-Coffee,Hot and iced non-coffee beverages,Ube,Hot or iced ube drink,100.00,Hot Primo,100.00,http://localhost:3000/static/products/hot_ube.png
Non-Coffee,Hot and iced non-coffee beverages,Ube,Hot or iced ube drink,100.00,Hot Medio,120.00,
Non-Coffee,Hot and iced non-coffee beverages,Ube,Hot or iced ube drink,100.00,Iced Medio,120.00,
Non-Coffee,Hot and iced non-coffee beverages,Ube,Hot or iced ube drink,100.00,Iced Massimo,150.00,
Non-Coffee,Hot and iced non-coffee beverages,Mango,Hot or iced mango drink,100.00,Hot Primo,100.00,
Non-Coffee,Hot and iced non-coffee beverages,Mango,Hot or iced mango drink,100.00,Hot Medio,120.00,
Non-Coffee,Hot and iced non-coffee beverages,Mango,Hot or iced mango drink,100.00,Iced Medio,120.00,
Non-Coffee,Hot and iced non-coffee beverages,Mango,Hot or iced mango drink,100.00,Iced Massimo,140.00,
Non-Coffee,Hot and iced non-coffee beverages,Matcha,Hot or iced matcha drink,120.00,Hot Primo,120.00,http://localhost:3000/static/products/hot_matcha.jpg
Non-Coffee,Hot and iced non-coffee beverages,Matcha,Hot or iced matcha drink,120.00,Hot Medio,140.00,
Non-Coffee,Hot and iced non-coffee beverages,Matcha,Hot or iced matcha drink,120.00,Iced Medio,130.00,
Non-Coffee,Hot and iced non-coffee beverages,Matcha,Hot or iced matcha drink,120.00,Iced Massimo,150.00,
Non-Coffee,Hot and iced non-coffee beverages,Red Velvet,Hot or iced red velvet drink,110.00,Hot Primo,110.00,http://localhost:3000/static/products/hot_red_velvet.jpg
Non-Coffee,Hot and iced non-coffee beverages,Red Velvet,Hot or iced red velvet drink,110.00,Hot Medio,130.00,
Non-Coffee,Hot and iced non-coffee beverages,Chocolate,Hot or iced chocolate drink,100.00,Hot Primo,100.00,http://localhost:3000/static/products/hot_chocolate.jpg
Non-Coffee,Hot and iced non-coffee beverages,Chocolate,Hot or iced chocolate drink,100.00,Hot Medio,120.00,
Non-Coffee,Hot and iced non-coffee beverages,Chocolate,Hot or iced chocolate drink,100.00,Iced Medio,130.00,
Non-Coffee,Hot and iced non-coffee beverages,Chocolate,Hot or iced chocolate drink,100.00,Iced Massimo,150.00,
Non-Coffee,Hot and iced non-coffee beverages,Strawberry,Iced strawberry drink,120.00,Iced Medio,120.00,
Non-Coffee,Hot and iced non-coffee beverages,Strawberry,Iced strawberry drink,120.00,Iced Massimo,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Mango 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Mango 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Strawberry 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Strawberry 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Chocolate 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Chocolate 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Ube 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Ube 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Matcha 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Matcha 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Charcoal 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Charcoal 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Vanilla 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Vanilla 12oz,140.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Tableya 8oz,120.00,
Gelato,Soft serve ice cream selections,Soft Serve Ice Cream,Premium soft serve ice cream,120.00,Tableya 12oz,140.00,
Fruit Shake,Premium fruit shakes,Ube Float,Premium ube fruit shake,230.00,Massimo,230.00,
Fruit Shake,Premium fruit shakes,Mango Float,Premium mango fruit shake,180.00,Massimo,180.00,
Fruit Shake,Premium fruit shakes,Strawberry Float,Premium strawberry fruit shake,180.00,Massimo,180.00,
Fruit Boost,Fruit teas and lemonades,Red Passion,Fruit tea,160.00,Medio,160.00,
Fruit Boost,Fruit teas and lemonades,Yogurt Fruit Tea,Yogurt fruit tea,160.00,Medio,160.00,
Fruit Boost,Fruit teas and lemonades,Cebuano Iced Tea,House iced tea,160.00,Medio,160.00,
Fruit Boost,Fruit teas and lemonades,Classic Lemonade,Classic lemonade,140.00,Medio,140.00,
Fruit Boost,Fruit teas and lemonades,Cucumber Lemonade,Cucumber lemonade,150.00,Medio,150.00,
Meals,Breakfast and set meals,Pinoy Breakfast,Choice of tapa or chorizo,295.00,Tapa,295.00,
Meals,Breakfast and set meals,Pinoy Breakfast,Choice of tapa or chorizo,295.00,Chorizo,295.00,
Meals,Breakfast and set meals,American Breakfast,American breakfast meal,295.00,Regular,295.00,
Meals,Breakfast and set meals,Chicken Schnitzel,Chicken schnitzel breakfast meal,345.00,Regular,345.00,
Meals,Breakfast and set meals,Pork Schnitzel,Pork schnitzel breakfast meal,345.00,Regular,345.00,
Meals,Breakfast and set meals,Teriyaki,Set meal,245.00,Pork,245.00,http://localhost:3000/static/products/chicken_teriyaki.webp
Meals,Breakfast and set meals,Teriyaki,Set meal,245.00,Chicken,245.00,
Meals,Breakfast and set meals,Teriyaki,Set meal,245.00,Beef,350.00,
Meals,Breakfast and set meals,Teriyaki,Set meal,245.00,Salmon,455.00,
Meals,Breakfast and set meals,Parmesan,Set meal,245.00,Pork,245.00,
Meals,Breakfast and set meals,Parmesan,Set meal,245.00,Chicken,245.00,
Meals,Breakfast and set meals,Parmesan,Set meal,245.00,Beef,380.00,
Meals,Breakfast and set meals,Parmesan,Set meal,245.00,Salmon,455.00,
Meals,Breakfast and set meals,Hot & Smoky,Set meal,245.00,Pork,245.00,
Meals,Breakfast and set meals,Hot & Smoky,Set meal,245.00,Chicken,245.00,
Meals,Breakfast and set meals,Hot & Smoky,Set meal,245.00,Beef,360.00,
Meals,Breakfast and set meals,Hot & Smoky,Set meal,245.00,Salmon,455.00,
